id	NC1_Control	NC2_Control	NC3_Control	U2OS1_Treat	U2OS2_Treat	U2OS3_Treat
SCCPDH	9.80308403840351	9.6892626163087	9.68895611636474	9.83952765703777	9.74222902749679	9.96170007896175
LYST	9.13968530551602	9.08015297265944	9.09373722158942	8.611410872232	8.56672507276885	8.57199359381572
MAP3K21	8.31613473553161	8.1376038075309	8.27452501214787	8.55688346337686	8.62068318193666	8.64337881640986
CEP170	11.6741528839361	11.561069519637	11.6776470240231	11.5753855241765	11.5542664399589	11.5244705681079
ACP1	11.2445949196267	11.2104672232642	11.2290104107106	11.2576891723162	11.3245247998023	11.3200883839388
SNAP47	9.58055966219625	9.57852545607779	9.59526520495708	9.58779038032339	9.52630438585437	9.70318763786505
SRP9	12.8627863927124	12.8892219956138	12.8468749243277	12.8684811372255	12.9714069851875	12.9304991698531
NVL	9.5234411492817	9.56888621247423	9.33235573443381	9.4006064366624	9.5480889177264	9.61638347624717
SDE2	9.71260044070906	9.81692681214223	9.64977916813059	9.84912255984407	9.74222902749679	9.77333006716491
DEGS1	10.0729207360964	10.0393197547058	10.1219515091837	10.2644912305018	10.2390060524885	10.2432186727884
FBXO28	10.4853837210039	10.4149248081827	10.4405418988395	10.4020649232355	10.4353742510359	10.3745880779325
ARF1	12.1944070353371	12.2135681628089	12.2381745022361	12.1735411325842	12.2843571348252	12.232492374739
LEFTY2	0	0	0	0	0	1
CNIH4	10.2590667491034	10.2539192181148	10.2805222744053	10.2990557925405	10.2090900213599	10.210132217617
ITPKB	7.61599548785909	7.41236749945353	7.54769440084711	7.8034706613759	7.47386212432001	7.47326842145056
GUK1	10.4001464516915	10.1992830846026	10.3394111831349	10.178064215609	10.1879887805693	10.187547190122
CDC42BPA	11.669899794813	11.6355865029848	11.6957651830461	11.750752699724	11.7319948119331	11.6684991669853
CNIH3	9.44707212078801	9.45169306510502	9.36072194229428	9.65053662820018	9.75423447487653	9.74449704098575
C1orf35	8.30510375025346	8.31257783127007	8.33873500034651	8.46359287156878	8.38485271728041	8.78782123533988
MBOAT2	11.5513661712111	11.6014959723569	11.519344924006	11.6594481449795	11.711402105702	11.6374212480321
PARP1	12.6766609562826	12.6937323952549	12.7012667749098	12.8210899928983	12.8468749243277	12.8435854033338
PSEN2	4.43204965460193	4.1663911072772	4.43690737887852	3.36093397262796	3.70566879992182	4.57398434795316
PYCR2	8.4374595087452	8.57824075123311	8.5639621714061	8.41916315901949	8.64132610587851	8.80180729802651
LBR	12.1377721361227	12.2539716713518	12.1443663121494	12.4662843379548	12.4587507299694	12.5599652634638
WNT9A	5.03182376060012	4.77926487740935	5.24542360249537	6.25329927295783	6.09167182509368	6.57252617625916
EPHX1	9.77056538617457	9.93180175783796	9.8742569104779	9.7048583145677	9.7356384985287	9.48735630629974
REN	1	1	2.3461359328418	0	1	1.86165416690705
SOX13	8.95643655635308	8.80258036839747	8.82042680252293	8.93121488914494	8.88047723497921	9.13837169820562
ETNK2	9.01084257059367	9.17273189002529	8.99500889779602	8.87149652382571	9.08583573670862	9.0188505582058
PPFIA4	7.9596611366133	7.89037552510719	8.00912729098503	7.67694652790403	7.55542148409709	8.17091593648786
PLEKHA6	5.07864640989089	4.18549820160072	4.39358734095717	3.79851018578616	4.49309093926754	3.59575942876427
PTPN7	5.99725965829282	5.947556610718	5.57749887072273	6.68274692490905	5.49877853579771	6.17128546204021
SYT2	6.24951259354115	6.36131170633602	6.07382457622912	6.17296695220168	5.7221098769549	5.33978299700491
